"TGT","Target Corporatio","9/28/2012",63.47,41.566B,4361690
"SSP","E.W. Scripps Comp","9/28/2012",10.65,581.2M,181052
"SIAL","Sigma-Aldrich Cor","9/28/2012",71.9719,8.691B,603995
"SLB","Schlumberger N.V.","9/28/2012",72.33,95.984B,6501620
"SLE","SLE","N/A",0.00,N/A,0
"SLM","SLM Corporation","9/28/2012",15.72,7.379B,3668540
"SNA","Snap-On Incorpora","9/28/2012",71.87,4.180B,346128
"SNDK","SanDisk Corporati","9/28/2012",43.43,10.490B,5022520
"SO","Southern Company ","9/28/2012",46.09,40.319B,4045740
"STT","State Street Corp","9/28/2012",41.96,20.103B,3594980
"SWK","Stanley Black & D","9/28/2012",76.25,12.820B,1724750
"SWY","Safeway Inc. Comm","9/28/2012",16.09,3.854B,6868550
"TE","TECO Energy, Inc.","9/28/2012",17.74,3.842B,1755650
"TEG","Integrys Energy G","9/28/2012",52.20,4.067B,393150
"TEL","TE Connectivity L","9/28/2012",34.01,14.550B,1593360
"TER","Teradyne, Inc. Co","9/28/2012",14.22,2.668B,2986750
"TEX","Terex Corporation","9/28/2012",22.58,2.495B,3777600
"TWX","Time Warner Inc. ","9/28/2012",45.335,43.019B,7599140
"TXN","Texas Instruments","9/28/2012",27.555,31.351B,8537410
"TXT","Textron Inc. Comm","9/28/2012",26.17,7.352B,3080040
"UNH","UnitedHealth Grou","9/28/2012",55.41,57.222B,6723420
"UNM","Unum Group Common","9/28/2012",19.22,5.384B,2591080
"UNP","Union Pacific Cor","9/28/2012",118.70,56.217B,2081800
"UPS","United Parcel Ser","9/28/2012",71.57,68.596B,4166720
"TEL","TE Connectivity L","9/28/2012",34.01,14.550B,1593360
"TER","Teradyne, Inc. Co","9/28/2012",14.22,2.668B,2986750
"TEX","Terex Corporation","9/28/2012",22.58,2.495B,3777600
"TGT","Target Corporatio","9/28/2012",63.47,41.566B,4361690
"THC","Tenet Healthcare ","9/28/2012",6.27,2.613B,7377670
"TIE","Titanium Metals C","9/28/2012",12.83,2.246B,1453430
